4,4,5,11,10,8,6,10,6,8,9,6,10,6
18,19,17,20,25,28,38,42,62,31,49,42,50,47
0,3,3,2,0,3,1,2,4,0,0,4,3,0
31,42,64,47,38,30,57,55,73,71,73,64,98,99
3,2,1,4,4,4,2,6,2,3,4,2,3,4
5,3,8,7,4,4,3,3,6,4,8,3,5,3
14,27,42,53,40,33,70,88,65,111,95,98,179,181
19,16,32,27,30,36,33,44,31,59,62,80,84,79
5,2,4,4,3,0,3,4,3,3,1,4,7,3
76,84,119,133,118,74,130,153,146,183,187,208,219,231
8,7,11,10,10,9,10,15,20,26,31,25,16,19
5,10,6,7,9,7,3,9,8,10,7,8,7,12
8,4,10,9,10,10,10,9,10,10,13,7,13,8
2,4,3,5,3,4,10,9,12,12,9,9,17,11
4,1,13,10,7,10,8,8,14,14,12,12,12,17
9,10,19,20,12,11,10,22,24,12,15,9,10,18
7,3,4,7,10,10,10,4,9,6,10,9,7,3
16,21,20,30,18,27,28,37,37,41,54,76,81,65
3,5,0,4,9,8,2,8,4,2,10,7,11,10
4,9,2,2,3,9,7,6,6,7,18,7,8,11
21,25,28,20,25,30,34,32,43,29,30,27,28,29
13,9,14,33,36,33,32,17,27,40,51,56,34,59
84,101,130,132,119,140,209,182,223,253,256,294,294,309
16,21,11,13,21,20,32,25,17,17,24,26,28,19
2,3,4,7,4,4,4,8,4,4,5,7,8,7
60,53,57,107,114,132,146,83,91,196,208,239,156,231
1,3,0,4,1,4,5,4,4,3,3,7,9,10
16,18,12,12,20,16,28,22,20,18,15,18,18,31
18,14,14,14,17,19,11,19,18,15,13,15,24,16
10,9,11,8,12,22,26,21,21,45,22,29,29,23
4,6,3,4,3,4,3,0,9,8,8,4,3,2
53,49,62,48,52,53,89,61,89,84,101,90,108,125
0,1,0,4,3,4,5,5,2,4,4,3,6,7
3,4,3,11,9,10,9,10,9,6,16,9,4,7
0,4,4,0,9,4,4,2,3,3,4,2,11,4
9,10,4,7,8,7,10,14,12,10,9,12,18,19
13,20,24,27,19,15,22,28,38,26,37,47,52,50
11,15,25,13,12,11,20,13,15,19,18,15,15,17
27,34,28,34,29,44,64,40,54,60,64,59,63,71
48,55,46,60,54,54,81,68,68,84,87,86,85,106
1,5,8,5,5,10,3,4,4,7,7,10,4,9
57,39,43,61,44,58,58,107,144,141,123,141,133,158
16,17,16,20,21,24,20,28,34,30,26,36,29,28
12,8,9,9,3,10,4,7,18,17,14,13,8,5
2,4,3,4,3,10,6,4,10,3,9,10,10,6
18,15,20,41,40,41,22,46,69,58,58,61,48,92
