2,5,3,3,1,2,2,2,2,2,5,5,0,5
12,12,13,20,18,18,8,18,17,24,9,27,21,19
1,0,2,3,5,1,2,5,2,2,1,0,1,1
21,21,32,19,23,23,25,15,20,21,30,26,29,32
1,2,0,3,5,2,2,4,0,2,0,2,3,2
3,5,2,3,7,2,3,3,3,1,1,4,2,5
10,19,15,20,22,15,29,15,28,23,27,25,21,29
11,13,13,16,14,8,27,24,26,27,22,19,18,17
1,1,6,2,2,1,0,3,2,2,0,6,3,6
44,46,57,62,37,42,60,23,45,37,48,44,44,43
3,8,8,4,4,8,10,7,11,4,9,8,11,12
3,11,5,4,5,4,5,9,5,4,1,5,6,8
10,6,3,8,9,4,5,7,4,5,6,8,4,6
4,12,1,5,4,2,6,6,2,6,8,6,5,5
9,4,6,2,9,6,5,4,7,2,3,1,7,3
5,13,8,9,6,8,10,9,12,13,10,15,11,9
5,3,3,1,1,3,4,3,5,8,6,3,5,5
10,8,12,9,13,9,9,10,17,11,11,19,13,24
3,4,1,5,7,4,5,1,4,2,2,1,2,4
3,4,5,2,2,1,5,4,4,5,3,4,1,5
17,18,22,21,9,11,23,10,24,16,19,19,13,18
5,9,13,9,6,11,14,10,6,7,7,14,8,18
35,38,49,42,31,43,43,52,45,50,47,58,52,66
8,11,10,5,7,9,10,10,3,12,14,13,13,16
0,0,2,2,1,2,4,5,3,6,4,2,3,2
27,27,26,44,35,30,26,34,39,29,35,43,42,59
1,0,2,4,3,4,3,4,6,4,4,6,5,4
9,8,6,7,11,7,8,8,12,8,5,5,11,15
7,9,5,13,10,12,7,9,9,9,4,8,7,5
8,10,6,14,8,10,3,12,10,14,11,12,11,13
3,3,2,1,0,1,4,3,4,3,4,2,5,4
33,22,24,22,19,28,30,25,30,32,33,27,29,30
0,2,0,2,0,1,3,1,1,1,2,2,3,1
7,3,4,7,10,7,6,3,1,3,10,5,5,6
3,7,6,5,3,6,4,4,2,2,4,3,2,4
8,6,4,3,3,10,3,1,7,4,2,3,6,7
8,10,9,8,9,15,7,11,8,8,6,8,19,9
14,14,9,14,17,13,17,11,14,19,10,9,8,16
6,13,11,10,10,9,12,14,20,14,9,15,11,17
46,36,42,36,45,35,31,38,41,42,47,48,35,30
2,3,2,2,3,2,1,3,2,2,1,1,1,0
33,21,35,33,25,25,32,21,31,49,29,35,48,21
11,18,14,10,12,18,17,11,13,20,16,16,10,14
5,2,6,2,2,6,6,2,4,2,4,2,1,1
7,6,2,6,7,9,9,1,7,2,4,3,6,7
17,16,16,17,19,21,22,14,23,39,31,35,29,26
