V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46
0.514149998,0.4497,0.4834,0.4965,0.5319,0.6344,0.351849968,0.4876,0.476,0.4701,0.4493,0.528049998,0.4954,0.4894,0.52009999,0.460049997,0.502349998,0.4599,0.567349998,0.7599,0.496149997,0.500449998,0.524749979,0.4996,0.527449998,0.4931,0.5067,0.529499991,0.5376,0.4069,0.584449998,0.4342,0.416949997,0.6145,0.4819,0.5019,0.5858,0.4591,0.7066,0.467849997,0.455199989,0.743849998,0.615349998,0.5214,0.488049997,0.509749998
0.443049997,0.494749997,0.4646,0.593199992,0.521949978,0.5141,0.506149998,0.526849998,0.436549997,0.52,0.486849997,0.489849997,0.472499989,0.479749997,0.4914,0.5496,0.502149998,0.565549998,0.429499953,0.438049974,0.34534991,0.514549998,0.457649997,0.49109999,0.514049998,0.4988,0.51809999,0.4903,0.4964,0.51759999,0.417,0.600549981,0.483549997,0.563599991,0.4657,0.24499998,0.565349945,0.49889999,0.4315,0.614799992,0.234949995,0.522,0.603949998,0.491349997,0.557,0.50109999
0.4826,0.4692,0.5154,0.528149998,0.4661,0.527149998,0.515249998,0.5,0.543549998,0.476,0.5191,0.5059,0.527,0.5019,0.511749998,0.447799989,0.4725,0.534,0.454749997,0.461999989,0.522,0.514049998,0.4832,0.5004,0.5111,0.502249998,0.575349946,0.4922,0.5335,0.554749998,0.4977,0.460149997,0.5917,0.4693,0.4313,0.456249997,0.4075,0.385449971,0.631149998,0.4331,0.4579,0.582499991,0.5081,0.648549998,0.5011,0.5106
0.492649997,0.475549997,0.5108,0.52169999,0.503349998,0.366649997,0.521049998,0.4796,0.4969,0.4941,0.519649998,0.492449997,0.4815,0.512249998,0.506149998,0.593899992,0.505049998,0.489549997,0.557049998,0.573449998,0.5174,0.48599999,0.496649997,0.566349998,0.390049997,0.634199992,0.571749998,0.523,0.4928,0.496649977,0.523349998,0.4883,0.491199908,0.507549998,0.515749998,0.5199,0.5099,0.5321,0.5117,0.4956,0.5121,0.447,0.438949997,0.504949998,0.4963,0.491449997
0.51179999,0.51099999,0.517549998,0.534849998,0.445699989,0.4756,0.5225,0.4899,0.4919,0.5082,0.534149998,0.4827,0.506849998,0.513849998,0.470999989,0.49859999,0.50839999,0.4828,0.542449998,0.534649998,0.497149977,0.3616,0.516649998,0.395249997,0.399499987,0.50279999,0.5129,0.473049997,0.517,0.5167,0.499849997,0.511349998,0.4479,0.4858,0.4913,0.5091,0.511,0.5287,0.496549997,0.5063,0.534949998,0.4803,0.513549998,0.5035,0.4981,0.504349998
0.526249998,0.542849998,0.5056,0.528549998,0.5303,0.4573,0.4939,0.5056,0.490949997,0.4863,0.490999959,0.486549977,0.4695,0.480349997,0.541549998,0.4899,0.4704,0.5018,0.527799991,0.5195,0.49969999,0.50969999,0.5143,0.499849997,0.608449998,0.496749997,0.47,0.5217,0.4921,0.529249998,0.4907,0.480349997,0.4972,0.525449998,0.486,0.4937,0.530849998,0.470149997,0.528449998,0.4967,0.5003,0.5025,0.488,0.4972,0.498,0.5008
0.148899866,0.1963,0.887149987,0.821449998,0.294549894,0.371449916,0.365249997,0.317799984,0.531999991,0.51879999,0.5234,0.5557,0.501249938,0.6887,0.617799992,0.682349954,0.478599906,0.665049998,0.3662,0.1014,0.5605,0.48299999,0.535699916,0.500849998,0.547449979,0.473999989,0.394499987,0.535,0.446299989,0.78674996,0.6758,0.621799992,0.6933,0.725099993,0.536549998,0.235049995,0.388749842,0.736349998,0.131099962,0.300949996,0.273049995,0.882149999,0.881399994,0.519049978,0.271149959,0.413049973
0.2249,0.1928,0.489049997,0.272149995,0.222149994,0.3578,0.7566,0.562249998,0.472549934,0.1207,0.5534,0.2929,0.638549998,0.681849998,0.354349996,0.778699994,0.529599991,0.709099972,0.515249998,0.472249997,0.492949977,0.7771,0.348449996,0.362749997,0.183749939,0.482249997,0.7942,0.4382,0.6545,0.151899967,0.349749996,0.455699989,0.7616,0.808549998,0.55394998,0.5096,0.504349938,0.374899987,0.698249984,0.269199981,0.664299992,0.558049998,0.52319999,0.13934956,0.9418,0.233999979
0.719099993,0.863749999,0.132299962,0.2658,0.6535,0.4838,0.3841,0.4143,0.49589999,0.651899992,0.3456,0.199849994,0.384249997,0.319099859,0.677749998,0.756999974,0.395399949,0.676099993,0.49329999,0.458049997,0.33,0.723749998,0.646799992,0.405749997,0.637149982,0.595449998,0.5541,0.528449998,0.595899992,0.6028,0.452349997,0.651999992,0.2027,0.497349997,0.581899991,0.4165,0.419099988,0.971,0.423799988,0.211599976,0.4822,0.404549997,0.869699994,0.6274,0.2247,0.070139989
